image_name,artifact_label
792_right,0
793_left,0
793_right,0
796_left,0
796_right,0
799_left,0
799_right,0
800_left,0
800_right,0
802_left,0
802_right,0
803_left,0
803_right,0
805_left,0
805_right,0
810_left,0
810_right,0
812_left,0
812_right,0
814_left,0
814_right,0
818_right,0
819_left,0
819_right,0
825_left,0
825_right,0
831_left,0
831_right,0
838_left,0
838_right,0
839_left,0
839_right,0
842_left,0
842_right,0
844_left,0
845_left,0
845_right,0
851_left,0
851_right,0
857_right,0
862_left,0
862_right,0
863_left,0
863_right,0
866_left,0
866_right,0
876_left,0
876_right,0
878_right,0
879_left,0
879_right,0
880_left,0
880_right,0
885_left,0
885_right,0
886_left,0
886_right,0
897_left,0
897_right,0
899_left,0
899_right,0
904_right,0
909_left,0
909_right,0
910_left,0
910_right,0
912_left,0
912_right,0
914_left,0
914_right,0
916_right,0
917_left,0
917_right,0
921_left,0
921_right,0
925_left,0
925_right,0
929_left,0
929_right,0
930_left,0
930_right,0
931_left,0
931_right,0
935_left,0
935_right,0
939_left,0
939_right,0
940_left,0
940_right,0
941_left,0
941_right,0
943_left,0
943_right,0
947_right,0
953_left,0
953_right,0
958_left,0
958_right,0
959_left,0
959_right,0
963_left,0
963_right,0
966_left,0
966_right,0
967_left,0
967_right,0
968_left,0
968_right,0
969_left,0
969_right,0
970_left,0
970_right,0
977_left,0
977_right,0
979_left,0
979_right,0
980_left,0
980_right,0
983_left,0
983_right,0
985_left,0
987_left,0
987_right,0
990_left,0
990_right,0
992_right,0
994_left,0
994_right,0
997_left,0
998_left,0
998_right,0
1000_left,0
1000_right,0
1011_left,0
1011_right,0
1012_left,0
1012_right,0
1017_left,0
1017_right,0
1021_left,0
1021_right,0
1024_left,0
1024_right,0
1027_right,0
1029_left,0
1029_right,0
1035_left,0
1035_right,0
1037_left,0
1040_left,0
1040_right,0
1041_left,0
1041_right,0
1042_left,0
1042_right,0
1043_right,0
1044_left,0
1044_right,0
1047_left,0
1047_right,0
1051_left,0
1051_right,0
1052_left,0
1052_right,0
1055_left,0
1055_right,0
1056_left,0
1056_right,0
1057_left,0
1057_right,0
1058_left,0
1058_right,0
1059_left,0
1059_right,0
1061_left,0
1061_right,0
1070_left,0
1070_right,0
1073_left,0
1073_right,0
1075_right,0
1076_right,0
1088_left,0
1088_right,0
1092_left,0
1092_right,0
1093_left,0
1093_right,0
1096_left,0
1096_right,0
1102_left,0
1102_right,0
1113_left,0
1113_right,0
1116_left,0
1116_right,0
1119_left,0
1120_left,0
1120_right,0
1123_left,0
1123_right,0
1127_left,0
1127_right,0
1131_left,0
1131_right,0
1133_left,0
1133_right,0
1135_left,0
1135_right,0
1136_left,0
1136_right,0
1139_right,0
1142_left,0
1144_left,0
1144_right,0
1146_left,0
1146_right,0
1147_left,0
1147_right,0
1152_left,0
1161_left,0
1161_right,0
1165_left,0
1165_right,0
1170_left,0
1170_right,0
1172_left,0
1172_right,0
1179_left,0
1179_right,0
1180_left,0
1180_right,0
1182_left,0
1182_right,0
1188_left,0
1188_right,0
1192_left,0
1192_right,0
1197_left,0
1197_right,0
1199_left,0
1199_right,0
1202_left,0
1202_right,0
1206_left,0
1206_right,0
1211_left,0
1211_right,0
1212_left,0
1212_right,0
1222_left,0
1222_right,0
1226_right,0
1228_left,0
1228_right,0
1240_left,0
1240_right,0
1242_left,0
1242_right,0
1255_left,0
1255_right,0
1260_left,0
1260_right,0
1267_left,0
1267_right,0
1269_left,0
1269_right,0
1272_left,0
1272_right,0
1275_left,0
1275_right,0
1277_right,0
1282_left,0
1282_right,0
1283_right,0
1285_left,0
1285_right,0
1289_left,0
1289_right,0
1292_left,0
1292_right,0
1294_left,0
1294_right,0
1297_left,0
1297_right,0
1299_left,0
1299_right,0
1302_left,0
1302_right,0
1305_left,0
1305_right,0
1306_left,0
1306_right,0
1307_left,0
1307_right,0
1309_right,0
1312_left,0
1312_right,0
1313_left,0
1313_right,0
1316_left,0
1316_right,0
1318_left,0
1318_right,0
1322_left,0
1322_right,0
1324_left,0
1330_left,0
1330_right,0
1332_left,0
1332_right,0
1333_left,0
1333_right,0
1334_left,0
1334_right,0
1336_left,0
1336_right,0
1346_left,0
1346_right,0
1347_left,0
1347_right,0
1348_left,0
1348_right,0
1349_left,0
1349_right,0
1351_left,0
1351_right,0
1353_left,0
1353_right,0
1356_left,0
1356_right,0
1357_left,0
1357_right,0
1358_left,0
1358_right,0
1361_left,0
1361_right,0
1363_left,0
1363_right,0
1370_left,0
1370_right,0
1373_left,0
1373_right,0
1374_left,0
1377_left,0
1377_right,0
1378_left,0
1378_right,0
1387_left,0
1387_right,0
1388_left,0
1388_right,0
1393_left,0
1393_right,0
1394_left,0
1394_right,0
1395_left,0
1395_right,0
1396_left,0
1396_right,0
1399_left,0
1399_right,0
1408_left,0
1408_right,0
1409_right,0
1411_left,0
1411_right,0
1412_right,0
1418_left,0
1418_right,0
1422_left,0
1422_right,0
1424_left,0
1424_right,0
1425_left,0
1425_right,0
1427_left,0
1427_right,0
1429_left,0
1429_right,0
1431_left,0
1431_right,0
1432_left,0
1432_right,0
1439_left,0
1439_right,0
1446_left,0
1446_right,0
1449_left,0
1449_right,0
1452_left,0
1452_right,0
1454_right,0
1478_left,0
1478_right,0
1480_left,0
1480_right,0
1481_left,0
1481_right,0
1487_right,0
1488_left,0
1488_right,0
1492_left,0
1492_right,0
1493_left,0
1493_right,0
1497_left,0
1497_right,0
1499_left,0
1499_right,0
1500_right,0
1502_left,0
1502_right,0
1504_left,0
1504_right,0
1505_right,0
1506_left,0
1506_right,0
1507_left,0
1507_right,0
1508_left,0
1508_right,0
1509_left,0
1513_left,0
1513_right,0
1514_left,0
1514_right,0
1516_left,0
1516_right,0
1524_left,0
1524_right,0
1526_right,0
1527_right,0
1528_left,0
1528_right,0
1532_right,0
1550_left,0
1550_right,0
1551_left,0
1551_right,0
1557_left,0
1563_left,0
1563_right,0
1569_left,0
1569_right,0
1570_right,0
1574_left,0
1574_right,0
1579_left,0
1579_right,0
1586_left,0
1586_right,0
1588_left,0
1588_right,0
1589_left,0
1589_right,0
1595_left,0
1595_right,0
1596_left,0
1596_right,0
1600_left,0
1600_right,0
1608_left,0
1608_right,0
1609_left,0
1609_right,0
1610_left,0
1610_right,0
1611_left,0
1611_right,0
