image_name,center_x,center_y,target_size,image_w,image_h
10043_left,223,183,140,540,540
10112_left,252,314,140,540,540
10120_left,152,195,140,540,540
10131_left,240,244,140,540,540
10150_left,243,240,140,540,540
10156_left,187,381,140,540,540
10156_right,187,183,140,540,540
10160_right,222,195,140,540,540
10181_left,191,212,140,540,540
10181_right,239,251,140,540,540
10183_left,261,287,140,540,540
10193_left,194,131,140,540,540
10230_left,150,141,140,540,540
10242_left,263,258,140,540,540
10262_right,166,339,140,540,540
10272_right,186,135,140,540,540
10297_left,242,145,140,540,540
10303_right,181,199,140,540,540
10319_left,174,303,140,540,540
10319_right,150,163,140,540,540
10320_left,266,356,140,540,540
10325_left,220,131,140,540,540
10325_right,258,181,140,540,540
1032_left,221,328,140,540,540
10334_right,240,284,140,540,540
1034_left,227,331,140,540,540
1034_right,174,163,140,540,540
10379_left,189,263,140,540,540
10379_right,270,196,140,540,540
1037_right,173,189,140,540,540
10386_left,156,232,140,540,540
10397_right,177,146,140,540,540
10408_left,244,235,140,540,540
10444_left,220,273,140,540,540
10454_left,188,258,140,540,540
10457_right,151,396,140,540,540
10489_left,244,200,140,540,540
1049_left,132,294,140,540,540
1049_right,258,258,140,540,540
10503_left,264,272,140,540,540
1050_right,176,311,140,540,540
10510_right,253,188,140,540,540
10513_left,267,399,140,540,540
10513_right,154,220,140,540,540
10592_right,197,262,140,540,540
10645_right,145,338,140,540,540
10666_left,162,325,140,540,540
10671_right,239,400,140,540,540
10680_left,265,164,140,540,540
10684_left,194,159,140,540,540
10688_left,238,237,140,540,540
10688_right,138,318,140,540,540
10726_left,237,205,140,540,540
10734_left,250,351,140,540,540
10737_left,195,320,140,540,540
10844_left,190,307,140,540,540
10844_right,179,130,140,540,540
10920_left,179,365,140,540,540
10924_left,142,192,140,540,540
10925_left,264,271,140,540,540
10966_right,260,291,140,540,540
11010_left,188,345,140,540,540
11026_left,265,209,140,540,540
11040_left,174,255,140,540,540
11040_right,166,281,140,540,540
11054_left,231,340,140,540,540
11089_left,144,131,140,540,540
11098_left,247,157,140,540,540
11098_right,133,185,140,540,540
1111_left,201,158,140,540,540
1111_right,262,277,140,540,540
11120_left,188,135,140,540,540
11120_right,164,333,140,540,540
11125_left,157,145,140,540,540
11147_left,233,261,140,540,540
11156_right,229,351,140,540,540
11164_right,246,228,140,540,540
11165_right,242,192,140,540,540
11176_left,133,343,140,540,540
11176_right,167,397,140,540,540
11183_left,130,150,140,540,540
11209_right,201,256,140,540,540
11217_right,268,400,140,540,540
11230_left,252,272,140,540,540
11230_right,181,157,140,540,540
11231_right,217,408,140,540,540
11238_right,132,311,140,540,540
11241_right,167,382,140,540,540
11243_left,131,197,140,540,540
11243_right,144,159,140,540,540
11288_left,135,379,140,540,540
11291_left,170,159,140,540,540
11291_right,183,285,140,540,540
11292_left,214,219,140,540,540
11315_right,132,214,140,540,540
11316_left,151,147,140,540,540
11316_right,222,178,140,540,540
11384_left,170,211,140,540,540
11384_right,246,253,140,540,540
11408_left,179,175,140,540,540
1140_left,133,356,140,540,540
1140_right,201,298,140,540,540
1145_right,257,387,140,540,540
11503_left,172,311,140,540,540
11503_right,138,374,140,540,540
1152_right,147,236,140,540,540
11539_left,175,188,140,540,540
11539_right,197,225,140,540,540
11623_left,215,274,140,540,540
11647_right,219,390,140,540,540
11648_left,130,300,140,540,540
11649_left,186,203,140,540,540
11650_left,208,273,140,540,540
11650_right,179,378,140,540,540
11651_right,266,256,140,540,540
1167_left,269,382,140,540,540
11698_left,157,402,140,540,540
11698_right,209,303,140,540,540
11703_right,196,214,140,540,540
11734_right,155,202,140,540,540
11759_right,236,295,140,540,540
11770_left,179,204,140,540,540
11772_right,268,136,140,540,540
11776_left,172,167,140,540,540
11776_right,142,390,140,540,540
11790_left,225,317,140,540,540
11790_right,177,180,140,540,540
11823_right,201,408,140,540,540
11826_right,152,324,140,540,540
11910_left,181,363,140,540,540
11910_right,173,161,140,540,540
11962_left,177,179,140,540,540
11965_right,195,358,140,540,540
11975_left,133,217,140,540,540
12000_right,228,343,140,540,540
12003_left,266,283,140,540,540
12005_left,242,360,140,540,540
12036_left,168,205,140,540,540
12042_left,155,315,140,540,540
1204_right,179,167,140,540,540
12089_right,270,366,140,540,540
12092_left,134,184,140,540,540
12101_left,177,137,140,540,540
12101_right,233,198,140,540,540
12129_right,234,194,140,540,540
12211_right,178,348,140,540,540
12257_left,248,360,140,540,540
12268_left,135,155,140,540,540
12271_left,238,224,140,540,540
12286_right,147,266,140,540,540
12299_left,264,230,140,540,540
12306_right,223,204,140,540,540
12316_left,200,252,140,540,540
12325_left,182,188,140,540,540
12325_right,158,371,140,540,540
12329_left,216,156,140,540,540
12329_right,182,231,140,540,540
1233_right,236,375,140,540,540
12386_left,242,331,140,540,540
12410_right,170,305,140,540,540
12441_left,239,244,140,540,540
12441_right,161,303,140,540,540
12445_right,267,359,140,540,540
12451_left,196,162,140,540,540
12478_right,199,350,140,540,540
12480_right,173,179,140,540,540
12490_left,227,175,140,540,540
12492_right,148,267,140,540,540
12525_left,246,230,140,540,540
12525_right,139,295,140,540,540
12536_left,227,275,140,540,540
12539_right,183,233,140,540,540
12567_left,176,310,140,540,540
12567_right,258,208,140,540,540
12575_right,140,208,140,540,540
12589_left,209,237,140,540,540
1259_right,167,154,140,540,540
12628_right,258,324,140,540,540
12630_left,197,256,140,540,540
12650_left,232,151,140,540,540
12650_right,232,145,140,540,540
12654_right,241,232,140,540,540
12666_left,174,363,140,540,540
12666_right,215,201,140,540,540
12699_left,133,249,140,540,540
12699_right,137,399,140,540,540
12709_right,232,330,140,540,540
12734_left,235,366,140,540,540
12734_right,174,135,140,540,540
12739_left,244,281,140,540,540
12743_left,135,165,140,540,540
12743_right,259,143,140,540,540
12775_left,196,243,140,540,540
12789_left,252,323,140,540,540
12789_right,259,179,140,540,540
12795_right,145,192,140,540,540
12804_right,215,371,140,540,540
12805_left,264,216,140,540,540
12831_right,161,286,140,540,540
12835_left,143,178,140,540,540
12835_right,270,296,140,540,540
12839_left,148,242,140,540,540
12839_right,211,189,140,540,540
12857_right,175,141,140,540,540
12859_left,152,206,140,540,540
1290_left,238,252,140,540,540
1290_right,212,183,140,540,540
12912_right,185,238,140,540,540
12931_left,246,286,140,540,540
12951_left,237,358,140,540,540
1296_right,230,219,140,540,540
129_left,190,344,140,540,540
129_right,218,177,140,540,540
13002_right,244,256,140,540,540
13005_right,165,150,140,540,540
13012_right,204,369,140,540,540
13015_right,132,306,140,540,540
13099_left,148,253,140,540,540
13099_right,218,234,140,540,540
13112_right,235,196,140,540,540
13125_right,188,230,140,540,540
13126_right,149,330,140,540,540
13161_left,229,167,140,540,540
13161_right,240,359,140,540,540
13169_right,234,134,140,540,540
13175_right,220,372,140,540,540
13201_right,263,251,140,540,540
13239_right,185,245,140,540,540
13252_right,152,140,140,540,540
13254_left,197,138,140,540,540
13267_right,198,268,140,540,540
13270_right,131,291,140,540,540
13308_left,215,143,140,540,540
13323_right,268,291,140,540,540
13326_left,235,404,140,540,540
13353_right,157,334,140,540,540
13417_left,216,342,140,540,540
13446_right,181,389,140,540,540
13489_right,189,168,140,540,540
13493_left,248,369,140,540,540
13495_left,206,185,140,540,540
13527_left,185,281,140,540,540
13567_left,268,253,140,540,540
13584_right,208,272,140,540,540
13585_left,187,333,140,540,540
13585_right,211,340,140,540,540
13588_left,205,186,140,540,540
13597_left,163,190,140,540,540
13597_right,245,158,140,540,540
13605_right,205,305,140,540,540
13607_left,207,198,140,540,540
13627_left,216,175,140,540,540
13627_right,248,253,140,540,540
1362_left,249,157,140,540,540
13638_right,261,278,140,540,540
13644_right,268,379,140,540,540
13667_right,160,408,140,540,540
13668_left,266,240,140,540,540
1367_left,164,321,140,540,540
13684_left,208,380,140,540,540
13704_left,151,252,140,540,540
13705_right,134,299,140,540,540
13768_left,180,280,140,540,540
13773_left,144,209,140,540,540
13786_left,179,304,140,540,540
13820_left,260,328,140,540,540
13820_right,172,149,140,540,540
13821_left,170,338,140,540,540
13848_left,201,292,140,540,540
13856_left,214,298,140,540,540
13892_right,153,238,140,540,540
1391_right,143,222,140,540,540
13923_right,172,322,140,540,540
13931_right,185,274,140,540,540
13933_right,182,232,140,540,540
13966_right,175,162,140,540,540
13971_right,238,315,140,540,540
13975_left,263,302,140,540,540
13975_right,133,148,140,540,540
14045_right,219,363,140,540,540
14053_left,224,211,140,540,540
14078_left,221,257,140,540,540
14094_left,221,267,140,540,540
14097_left,205,249,140,540,540
14119_left,228,215,140,540,540
14128_left,231,310,140,540,540
14139_left,145,164,140,540,540
14152_right,266,176,140,540,540
14159_right,210,335,140,540,540
14160_left,137,397,140,540,540
1419_right,221,233,140,540,540
14202_left,165,282,140,540,540
14205_right,227,148,140,540,540
14228_left,258,229,140,540,540
14249_right,216,388,140,540,540
14269_left,149,294,140,540,540
14269_right,146,367,140,540,540
14323_left,137,204,140,540,540
14323_right,197,232,140,540,540
