image_name,center_x,center_y,target_size,image_w,image_h
1002_right,135,340,140,540,540
10043_left,135,340,140,540,540
10043_right,135,340,140,540,540
10109_left,135,340,140,540,540
10109_right,135,340,140,540,540
10112_left,135,340,140,540,540
10120_left,135,340,140,540,540
10120_right,135,340,140,540,540
10131_left,135,340,140,540,540
10131_right,135,340,140,540,540
10135_left,135,340,140,540,540
10135_right,135,340,140,540,540
10147_left,135,340,140,540,540
10147_right,135,340,140,540,540
10150_left,135,340,140,540,540
10156_left,135,340,140,540,540
10156_right,135,340,140,540,540
10159_left,135,340,140,540,540
10160_left,135,340,140,540,540
10160_right,135,340,140,540,540
10181_left,135,340,140,540,540
10181_right,135,340,140,540,540
10183_left,135,340,140,540,540
10193_left,135,340,140,540,540
10230_left,135,340,140,540,540
10230_right,135,340,140,540,540
10242_left,135,340,140,540,540
10244_left,135,340,140,540,540
10244_right,135,340,140,540,540
10250_left,135,340,140,540,540
10250_right,135,340,140,540,540
10262_left,135,340,140,540,540
10262_right,135,340,140,540,540
10272_left,135,340,140,540,540
10272_right,135,340,140,540,540
10297_left,135,340,140,540,540
10303_right,135,340,140,540,540
10306_left,135,340,140,540,540
10306_right,135,340,140,540,540
1030_left,135,340,140,540,540
1030_right,135,340,140,540,540
10312_right,135,340,140,540,540
10319_left,135,340,140,540,540
10319_right,135,340,140,540,540
10320_left,135,340,140,540,540
10325_left,135,340,140,540,540
10325_right,135,340,140,540,540
10326_left,135,340,140,540,540
1032_left,135,340,140,540,540
1032_right,135,340,140,540,540
10334_right,135,340,140,540,540
10339_left,135,340,140,540,540
10339_right,135,340,140,540,540
1034_left,135,340,140,540,540
1034_right,135,340,140,540,540
10374_left,135,340,140,540,540
10379_left,135,340,140,540,540
10379_right,135,340,140,540,540
1037_right,135,340,140,540,540
10386_left,135,340,140,540,540
10397_right,135,340,140,540,540
10401_right,135,340,140,540,540
10408_left,135,340,140,540,540
10408_right,135,340,140,540,540
10415_left,135,340,140,540,540
10415_right,135,340,140,540,540
10438_left,135,340,140,540,540
10438_right,135,340,140,540,540
10439_left,135,340,140,540,540
10439_right,135,340,140,540,540
10444_left,135,340,140,540,540
10444_right,135,340,140,540,540
10454_left,135,340,140,540,540
10454_right,135,340,140,540,540
10457_left,135,340,140,540,540
10457_right,135,340,140,540,540
10468_left,135,340,140,540,540
10489_left,135,340,140,540,540
1049_left,135,340,140,540,540
1049_right,135,340,140,540,540
10501_right,135,340,140,540,540
10503_left,135,340,140,540,540
1050_left,135,340,140,540,540
1050_right,135,340,140,540,540
10510_right,135,340,140,540,540
10513_left,135,340,140,540,540
10513_right,135,340,140,540,540
10567_left,135,340,140,540,540
10569_right,135,340,140,540,540
10592_left,135,340,140,540,540
10592_right,135,340,140,540,540
10616_left,135,340,140,540,540
10616_right,135,340,140,540,540
10645_left,135,340,140,540,540
10645_right,135,340,140,540,540
10647_left,135,340,140,540,540
10647_right,135,340,140,540,540
10651_left,135,340,140,540,540
10651_right,135,340,140,540,540
10658_right,135,340,140,540,540
10666_left,135,340,140,540,540
10671_right,135,340,140,540,540
10680_left,135,340,140,540,540
10680_right,135,340,140,540,540
10684_left,135,340,140,540,540
10684_right,135,340,140,540,540
10688_left,135,340,140,540,540
10688_right,135,340,140,540,540
